Race                                                       Pool - CMGC                                                                                                                Granted                                                                               Participated
9                                                          QIN                                                                                                                        Yes                                                                                   No
9                                                          QPL                                                                                                                        Yes                                                                                   No
9                                                          FCT                                                                                                                        No                                                                                    No
9                                                          TRI                                                                                                                        No                                                                                    No
9                                                          TCE                                                                                                                        No                                                                                    No
9                                                          DBL                                                                                                                        No                                                                                    No
9                                                          D-T                                                                                                                        No                                                                                    No
10                                                         WIN                                                                                                                        Yes                                                                                   No
10                                                         PLA                                                                                                                        Yes                                                                                   No
10                                                         QIN                                                                                                                        Yes                                                                                   No
10                                                         QPL                                                                                                                        Yes                                                                                   No
10                                                         FCT                                                                                                                        No                                                                                    No
10                                                         TRI                                                                                                                        No                                                                                    No
10                                                         TCE                                                                                                                        No                                                                                    No
